folder_id,parent_id,research_group_id
7406,NULL,7405
7407,7406,7405
7408,7406,7405
7409,7408,7405
7424,17433,7405
7438,7409,7405
17433,23141,7405
21628,23982,7405
23141,7407,7405
23982,7408,7405
26717,7408,7405
26718,7408,7405
26930,7406,7405
26976,23141,7405
27105,NULL,27104
27106,27105,27104
27110,27105,27104
27113,27105,27104
27116,27105,27104
27119,27105,27104
27122,NULL,27104
27123,27122,27104
27127,27122,27104
27130,27122,27104
27133,27122,27104
27136,27122,27104
27902,26717,7405
37045,27119,27104
37251,27119,27104
37252,27119,27104
40033,27105,27104
44641,27136,27104
44643,44641,27104
45674,NULL,27104
50612,37045,27104
50617,50612,27104
50622,50612,27104
50718,50612,27104
50720,50612,27104
50723,50612,27104
50724,50612,27104
53900,27105,27104
57663,27116,27104
93459,53900,27104
118920,NULL,27104
154444,27119,27104
156542,27119,27104
156961,27119,27104
156983,156961,27104
